Audio1:1
Audio2:1
B+/-1:1
C1:1
C1P1:1
C2:1
C2P1:1
C3:1
C4:1
C5:1
C6:1
C8:1
C9:1
CL1:1
CL10:1
CL11:1
CL12:1
CL13:1
CL14:1
CL15:1
CL16:1
CL17:1
CL18:1
CL19:1
CL2:1
CL3:1
CL4:1
CL5:1
CL6:1
CL7:1
CL8:1
CL9:1
CN1:1
CN10:1
CN2:1
CN3:1
CN4:1
CN5:1
CN6:1
CN7:1
CN8:1
CN9:1
C_Motor1:1
C_VCC1:1
C_VCC2:1
C_VCOMH1:1
C_VDD1:1
C_VDD2:1
D1:1
D10:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
H1:1
H10:1
H11:1
H12:1
H2:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
H9:1
J1:1
L1:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED14:1
LED15:1
LED16:1
LED17:1
LED18:1
LED19:1
LED2:1
LED3:1
LED4:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
MOT1:1
Q1:1
Q2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW1:1
SW2:1
SW3:1
SW4:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
USB1:1
